Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA,AMD,GD,GLD,MATX,NRG,NVDA,TSLA
2015-03-18,2.75,109.2163391,112.3700027,34.40816498,20.11948776,0.551020265,13.38066673,2.819999933,109.3527377,112.8700027,34.41647389,20.31004311,0.563067045,13.3920002,2.720000029,106.2717037,110.0899963,33.32823764,19.19846951,0.545960634,12.8739996,2.769999981,107.1141772,110.3300018,33.97619658,19.22228798,0.560175852,12.99733257,11385200,2032800,12448000,262500,5036100,413844000,72313500
2015-03-19,2.74000001,108.5423584,112.2900009,34.55770111,19.54781914,0.559452951,13.04333305,2.779999971,109.3366926,112.5800018,34.70722988,20.20682352,0.561380413,13.63933277,2.730000019,108.3337509,111.5800018,34.05927398,19.39696228,0.548851797,12.96866703,2.75999999,108.7670164,111.8499985,34.44971057,19.91304979,0.552947696,13.46666718,8819400,1628500,6537700,198200,3506500,310756000,127128000
2015-03-20,2.799999952,108.6466751,113.5699997,34.6075325,20.20682335,0.565476239,13.20533276,2.799999952,110.1631225,114,35.13088302,20.24652181,0.568849382,13.26599979,2.74000001,108.237467,112.6699982,34.31678397,19.61133741,0.558730066,13.0413332,2.75999999,108.7991242,112.7099991,34.72383191,19.69867432,0.564030671,13.16333294,10764800,5233200,8033400,805800,5664300,462084000,64042500
2015-03-23,2.839999914,109.0237808,114.2900009,34.82352066,20.42913246,0.547165036,13.30866718,2.849999905,109.9464823,114.3700027,34.98966405,20.70702614,0.555838726,13.36666679,2.799999952,108.9836607,113.4899979,34.2586382,20.14330031,0.546924118,13.16466713,2.809999943,109.4811159,113.6999969,34.61584221,20.15917878,0.548610661,13.23333263,7450200,1596600,4240300,211900,3895400,426012000,39474000
2015-03-24,2.789999962,108.4781647,114.5699997,35.24718475,20.07978821,0.539696217,13.44799995,2.849999905,110.0588017,114.6500015,35.34686952,20.57999577,0.54933364,13.58600044,2.75999999,108.4139749,113.8199997,34.57430547,20.01626825,0.537286861,13.3166666,2.849999905,108.9916703,114.3499985,34.69060489,20.4291389,0.545478659,13.4386673,8724500,1435100,2979300,297300,6032200,330480000,54748500
2015-03-25,2.630000114,107.3227844,114.7300034,34.61584091,19.65898323,0.506929219,12.9533329,2.789999962,109.5453067,115.1399994,35.32194951,20.2147694,0.539455567,13.23933315,2.559999943,107.2505756,114.6500015,34.59092051,19.60340476,0.505242617,12.84666729,2.779999971,109.0237819,115.1100006,35.30533485,20.19095093,0.539455567,13.21800041,26985300,1803500,3021400,318900,2813100,542552000,85956000
2015-03-26,2.650000095,107.9405975,115.4800034,34.50786209,19.5795784,0.505242467,12.69400024,2.700000048,108.3578247,115.8399963,34.84014581,20.00038903,0.507410905,12.98600006,2.529999971,106.1353025,115.3399963,34.34171865,19.56369841,0.492954767,12.64666653,2.589999914,106.7049787,115.7300034,34.6324673,19.71455528,0.49656883,12.92800045,28286300,1856200,5495200,217200,3815100,311920000,61920000
2015-03-27,2.720000029,108.3497849,115.0599976,34.6075325,19.21435356,0.515120924,12.33333302,2.799999952,108.574455,115.3600006,34.78198162,19.73044125,0.517048386,12.61933327,2.630000114,107.6276718,114.4499969,34.10910555,19.11113511,0.499941972,12.09333324,2.700000048,107.7961714,115.1399994,34.50784774,19.57958434,0.508133772,12.60466671,16844100,945700,4921700,230500,4548400,318288000,129073500
2015-03-30,2.700000048,110.3315964,113.75,35.15581512,19.78601074,0.517289221,12.70466709,2.75999999,110.764874,114.0100021,35.31364964,20.04008447,0.519939496,12.8166666,2.660000086,108.4621117,113.5400009,34.68230841,19.21434485,0.510783909,12.11999989,2.730000019,108.8472501,113.9000015,34.68230841,19.33344172,0.51753014,12.39000034,8557500,1099100,4383900,155200,5634600,253252000,151342500
2015-03-31,2.680000067,108.9033813,113.6600037,35.02289963,20.00039101,0.504278779,12.58466721,2.700000048,109.9223732,114.2799988,35.16412265,20.05596946,0.516325561,12.91733265,2.650000095,108.8552421,113.4100037,34.62415732,19.68279876,0.503796942,12.56066704,2.660000086,109.5051462,113.8399963,35.13919907,19.77013568,0.515843725,12.90200043,7025000,1286400,4383300,169000,4283900,357276000,75399000
2015-04-01,2.690000057,107.4992981,115.5999985,34.84844208,18.73796272,0.506206214,12.50599957,2.75,108.4300309,115.9899979,35.09765557,19.84159647,0.507892758,12.81999969,2.650000095,106.4562363,114.5400009,34.47462026,18.68238426,0.497532521,12.40333271,2.660000086,108.3738725,114.5599976,34.86505673,19.84159647,0.506206214,12.57999992,11240500,1131400,7324000,156600,9702700,330768000,56919000
